Area;pozwolenie na zakup broni;Population;violent crime Number;"violent crime Rate per 
100,000";"Murder and nonnegligent
manslaughter Number";"Murder and nonnegligent
manslaughter Rate per 
100,000";rape Number;"rape Rate per 
100,000"; rape2 Number;"rape2 Rate per 
100,000";robbery Number;"robbery Rate per 
100,000";Aggravated assault Number;"Aggravated assault Rate per 
100,000";property crime Number;"property crmie Rate per 
100,000";burglary Number;"burglary Rate per 
100,000";Larceny-theft Number;"Larceny-theft Rate per 
100,000";Motor vehicle theft Number;"Motor vehicle theft Rate per 
100,000"
United States Total;;316 128 839;1 163 146;367,9;14 196;4,5;108 612;34,4;79 770;25,2;345 031;109,1;724 149;229,1;8 632 512;2 730,70;1 928 465;610;6 004 453;1 899,40;699 594;221,3
     Alabama;0;4 833 722;20 210;418,1;347;7,2;2 044;42,3;1 428;29,5;4 648;96,2;13 787;285,2;161 993;3 351,30;42 429;877,8;108 993;2 254,80;10 571;218,7
     Alaska;0;735 132;4 430;602,6;34;4,6;922;125,4;644;87,6;624;84,9;3 128;425,5;21 210;2 885,20;2 916;396,7;16 599;2 258,00;1 695;230,6
     Arizona;0;6 626 624;26 892;405,8;357;5,4;3 050;46;2 343;35,4;6 702;101,1;17 490;263,9;225 243;3 399,10;48 533;732,4;159 272;2 403,50;17 438;263,2
     Arkansas;0;2 959 373;13 191;445,7;159;5,4;1 423;48,1;993;33,6;2 258;76,3;9 781;330,5;106 613;3 602,60;30 485;1 030,10;70 450;2 380,60;5 678;191,9
     California;2;38 332 521;151 879;396,2;1 746;4,6;9 714;25,3;7 464;19,5;53 640;139,9;89 029;232,3;1 018 907;2 658,10;232 058;605,4;621 557;1 621,50;165 292;431,2
     Colorado;0;5 268 367;15 342;291,2;178;3,4;2 934;55,7;2 050;38,9;3 151;59,8;9 963;189,1;140 057;2 658,50;25 081;476,1;102 443;1 944,50;12 533;237,9
     Connecticut;1;3 596 080;9 153;254,5;86;2,4;955;26,6;668;18,6;3 530;98,2;4 869;135,4;70 990;1 974,10;12 892;358,5;51 876;1 442,60;6 222;173
     Delaware;0;925 749;4 435;479,1;39;4,2;380;41;266;28,7;1 226;132,4;2 904;313,7;28 379;3 065,50;6 131;662,3;20 916;2 259,40;1 332;143,9
     District of Columbia;1;646 449;8 287;1 281,90;103;15,9;395;61,1;276;42,7;4 078;630,8;3 830;592,5;31 083;4 808,30;3 316;513;24 533;3 795,00;3 234;500,3
     Florida;0;19 552 860;89 948;460;972;5;6 760;34,6;4 722;24,1;23 200;118,7;61 054;312,3;607 172;3 105,30;138 916;710,5;433 344;2 216,30;34 912;178,6
     Georgia;0;9 992 167;35 943;359,7;556;5,6;2 582;25,8;1 984;19,9;12 488;125;20 915;209,3;334 399;3 346,60;82 258;823,2;225 315;2 254,90;26 826;268,5
     Hawaii;1;1 404 054;3 444;245,3;21;1,5;385;27,4;296;21,1;1 131;80,6;1 996;142,2;42 875;3 053,70;7 533;536,5;31 658;2 254,80;3 684;262,4
     Idaho;0;1 612 136;3 300;204,7;27;1,7;655;40,6;457;28,3;220;13,6;2 596;161;30 055;1 864,30;6 640;411,9;21 879;1 357,10;1 536;95,3
     Illinois;1;12 882 135;47 987;372,5;706;5,5;4 263;33,1;3 276;25,4;17 722;137,6;26 283;204;292 983;2 274,30;58 237;452,1;213 813;1 659,80;20 933;162,5
     Indiana;0;6 570 902;22 991;349,9;355;5,4;2 142;32,6;1 646;25;7 108;108,2;13 882;211,3;187 536;2 854,00;42 909;653;130 423;1 984,90;14 204;216,2
     Iowa;1;3 090 416;8 062;260,9;43;1,4;1 083;35;757;24,5;939;30,4;6 323;204,6;67 800;2 193,90;15 868;513,5;47 686;1 543,00;4 246;137,4
     Kansas;0;2 893 957;9 478;327,5;112;3,9;1 195;41,3;835;28,9;1 350;46,6;7 181;248,1;85 280;2 946,80;17 375;600,4;61 264;2 117,00;6 641;229,5
     Kentucky;0;4 395 295;8 737;198,8;167;3,8;1 611;36,7;1 126;25,6;3 246;73,9;4 198;95,5;103 857;2 362,90;26 213;596,4;71 612;1 629,30;6 032;137,2
     Louisiana;0;4 625 470;23 609;510,4;498;10,8;1 619;35;1 244;26,9;5 548;119,9;16 319;352,8;165 686;3 582,00;41 184;890,4;115 342;2 493,60;9 160;198
     Maine;0;1 328 302;1 615;121,6;24;1,8;447;33,7;344;25,9;335;25,2;912;68,7;30 447;2 292,20;6 483;488,1;23 050;1 735,30;914;68,8
     Maryland;2;5 928 814;27 734;467,8;381;6,4;1 532;25,8;1 177;19,9;10 048;169,5;16 128;272;157 913;2 663,50;31 949;538,9;112 546;1 898,30;13 418;226,3
     Massachusetts;1;6 692 824;27 038;404;137;2;2 718;40,6;2 089;31,2;6 706;100,2;18 106;270,5;137 285;2 051,20;30 735;459,2;97 428;1 455,70;9 122;136,3
     Michigan;1;9 895 622;42 536;429,8;631;6,4;6 593;66,6;4 606;46,5;10 105;102,1;27 194;274,8;230 334;2 327,60;56 344;569,4;149 423;1 510,00;24 567;248,3
     Minnesota;1;5 420 380;12 100;223,2;114;2,1;2 008;37;1 403;25,9;3 674;67,8;6 909;127,5;131 195;2 420,40;22 713;419;100 516;1 854,40;7 966;147
     Mississippi;0;2 991 207;7 999;267,4;195;6,5;930;31,1;715;23,9;2 409;80,5;4 680;156,5;81 500;2 724,70;24 995;835,6;52 117;1 742,30;4 388;146,7
     Missouri;0;6 044 171;25 509;422;371;6,1;2 287;37,8;1 599;26,5;5 484;90,7;18 055;298,7;189 606;3 137,00;38 865;643;134 416;2 223,90;16 325;270,1
     Montana;0;1 015 165;2 444;240,7;22;2,2;410;40,4;287;28,3;204;20,1;1 931;190,2;25 953;2 556,50;4 064;400,3;20 039;1 974,00;1 850;182,2
     Nebraska;1;1 868 516;4 712;252,2;57;3,1;801;42,9;616;33;1 040;55,7;2 999;160,5;49 018;2 623,40;8 900;476,3;35 655;1 908,20;4 463;238,9
     Nevada;0;2 790 136;16 496;591,2;163;5,8;1 418;50,8;1 090;39,1;5 183;185,8;10 060;360,6;79 177;2 837,70;23 047;826;46 132;1 653,40;9 998;358,3
     New Hampshire;0;1 323 459;2 642;199,6;22;1,7;686;51,8;479;36,2;649;49;1 492;112,7;29 040;2 194,30;4 936;373;23 164;1 750,30;940;71
     New Jersey;1;8 899 339;25 415;285,6;401;4,5;1 120;12,6;861;9,7;12 082;135,8;12 071;135,6;167 556;1 882,80;35 873;403,1;117 936;1 325,20;13 747;154,5
     New Mexico;0;2 085 287;12 443;596,7;125;6;1 465;70,3;1 126;54;1 810;86,8;9 382;449,9;77 256;3 704,80;21 476;1 029,90;49 875;2 391,80;5 905;283,2
     New York;1;19 651 127;76 596;389,8;648;3,3;3 353;17,1;2 577;13,1;27 241;138,6;46 130;234,7;358 598;1 824,80;56 442;287,2;286 674;1 458,80;15 482;78,8
     North Carolina;1;9 848 060;33 152;336,6;469;4,8;2 369;24,1;1 821;18,5;9 349;94,9;21 513;218,4;308 049;3 128,00;90 702;921;202 741;2 058,70;14 606;148,3
     North Dakota;0;723 393;1 854;256,3;16;2,2;330;45,6;230;31,8;162;22,4;1 446;199,9;15 148;2 094,00;2 934;405,6;10 798;1 492,70;1 416;195,7
     Ohio;0;11 570 808;31 904;275,7;455;3,9;4 041;34,9;2 824;24,4;14 368;124,2;14 257;123,2;338 731;2 927,50;91 433;790,2;227 766;1 968,50;19 532;168,8
     Oklahoma;0;3 850 568;16 484;428,1;195;5,1;2 180;56,6;1 675;43,5;3 031;78,7;11 583;300,8;126 057;3 273,70;33 348;866,1;81 495;2 116,40;11 214;291,2
     Oregon;0;3 930 065;9 546;242,9;80;2;1 897;48,3;1 459;37,1;2 397;61;5 610;142,7;124 737;3 173,90;20 769;528,5;94 106;2 394,50;9 862;250,9
     Pennsylvania;0;12 773 801;41 713;326,6;594;4,7;3 774;29,5;2 638;20,7;14 762;115,6;23 719;185,7;263 240;2 060,80;52 034;407,3;197 436;1 545,60;13 770;107,8
     Rhode Island;1;1 051 511;2 572;244,6;31;2,9;440;41,8;307;29,2;684;65;1 550;147,4;25 678;2 442,00;5 607;533,2;17 838;1 696,40;2 233;212,4
     South Carolina;0;4 774 839;23 625;494,8;297;6,2;2 171;45,5;1 518;31,8;3 972;83,2;17 838;373,6;173 049;3 624,20;40 958;857,8;119 511;2 502,90;12 580;263,5
     South Dakota;0;844 877;2 524;298,7;20;2,4;499;59,1;349;41,3;159;18,8;1 996;236,2;16 177;1 914,70;3 372;399,1;11 867;1 404,60;938;111
     Tennessee;0;6 495 978;37 655;579,7;328;5;2 351;36,2;1 642;25,3;7 307;112,5;28 378;436,9;206 629;3 180,90;50 999;785,1;143 802;2 213,70;11 828;182,1
     Texas;0;26 448 193;105 736;399,8;1 139;4,3;9 766;36,9;7 504;28,4;31 801;120,2;65 292;246,9;861 734;3 258,20;190 898;721,8;605 091;2 287,80;65 745;248,6
     Utah;0;2 900 872;6 070;209,2;49;1,7;1 422;49;994;34,3;1 243;42,8;3 784;130,4;85 586;2 950,40;13 333;459,6;64 788;2 233,40;7 465;257,3
     Vermont;0;626 630;720;114,9;10;1,6;130;20,7;91;14,5;73;11,6;546;87,1;13 875;2 214,20;3 313;528,7;10 228;1 632,20;334;53,3
     Virginia;0;8 260 405;15 524;187,9;316;3,8;2 262;27,4;1 581;19,1;4 565;55,3;9 062;109,7;170 654;2 065,90;26 640;322,5;135 478;1 640,10;8 536;103,3
     Washington;0;6 971 406;19 377;277,9;160;2,3;2 573;36,9;1 797;25,8;5 819;83,5;11 601;166,4;258 662;3 710,30;58 353;837;171 910;2 465,90;28 399;407,4
     West Virginia;0;1 854 304;5 371;289,7;61;3,3;653;35,2;456;24,6;651;35,1;4 203;226,7;39 013;2 103,90;9 674;521,7;27 423;1 478,90;1 916;103,3
     Wisconsin;0;5 742 713;15 570;271,1;162;2,8;1 687;29,4;1 296;22,6;4 834;84,2;9 278;161,6;125 688;2 188,70;24 347;424;93 953;1 636,00;7 388;128,6
     Wyoming;0;582 658;1 152;197,7;17;2,9;187;32,1;144;24,7;75;12,9;916;157,2;12 809;2 198,40;1 955;335,5;10 276;1 763,60;578;99,2
